,Title,Authors,Description,Date,Rating
0,The Psychology Book,['DK'],"All the big ideas, simply explained - an innovative and accessible guide to the study of human nature The Psychology Book clearly explains more than 100 groundbreaking ideas in this fascinating field of science. How does the brain remember faces? What makes us choose one decision over another? Where does language come from? With the use of powerful and easy-to-follow images, quotations from all the major thinkers, and explanations that are easily understandable, this book demystifies hard-to-grasp concepts and shows how these have shaped our knowledge of the human mind. All the schools of psychology are covered from cognitive to behavioural psychology making this ideal for students or for anyone with a general interest in this popular area. If you're fascinated by the human mind then The Psychology Book will get you thinking.",2015-02-02,NA
1,Little Book of Psychology,"['Emily Ralls', 'Caroline Riggs']","If you want to know your Freud from your Jung and your Milgram from your Maslow, strap in for this whirlwind tour of the highlights of psychology. Including accessible primers on: The early thinkers who contributed to psychological ideas and the birth of modern psychology Famous (and often controversial) experiments and their repercussions What psychology can teach us about memory, language, conformity, reasoning and emotions The ethics of psychological studies Recent developments in the modern fields of evolutionary and cyber psychology. This illuminating little book will introduce you to the key thinkers, themes and theories you need to know to understand how the study of mind and behaviour has sculpted the world we live in and the way we think today.",2019-06-13,NA
2,Introduction to Psychology,['Lionel Nicholas'],"Presents an overview of the latest information on various topics in psychology, such as cognition, motivation, learning, memory, and abnormal psychology.",2009-04,NA
3,The Everything Psychology Book,"['Kendra Cherry', 'Paul G Mattiuzzi']","There's nothing more fascinating-- or frightening-- than the ins and outs of the human mind. With this comprehensive guide, you'll achieve a better understanding of yourself-- and everyone else around you, too!",2010-11-16,NA
4,Counselling Psychology,['David Murphy'],Published on behalf by the British Psychological Society.,2017-09-25,NA
5,Psychology AS,"['Mike Cardwell', 'Cara Flanagan']",Offers guidance and support for studying Psychology at AS level.,2005-05,NA
6,Educational Psychology,['L.S. Vygotsky'],"When this classic book was first published in 1926, L.S. Vygotsky was well on his way to becoming one of the leading intellectuals in Russia. His study of the psychology of education led him to believe that the child should be the main figure in the educational process - and the efforts of the teacher should be directed toward organizing, not dictating, the child's development. ""The educational process must be based on the student's individual activity ..."" he states in Educational Psychology, ""... and the art of education should involve nothing more than guiding and monitoring this activity."" At a time when most education consisted of rote memorization and thwacks across the wrist with a ruler, these ideas were considered quite radical. Today's educators can find much that is of use in the pages of Educational Psychology. Vygotsky addresses many issues that are still relevant in the 1990s - abnormal social behavior, the nurturing of creativity and reasoning, problems with attention and memory - in a bold and opinionated fashion that is sure to delight educators as well as lovers of classical Russian writing. Psychologists will also find the book useful for its fascinating glimpses into the study of psychology in the early twentieth century.",1997-08-11,NA
7,Science Fiction and Psychology,['Gavin Miller'],"The psychologist may appear in science fiction as the herald of utopia or dystopia; literary studies have used psychoanalytic theories to interpret science fiction; and psychology has employed science fiction as an educational medium. Science Fiction and Psychology goes beyond such incidental observations and engagements to offer an in-depth exploration of science fiction literature's varied use of psychological discourses, beginning at the birth of modern psychology in the late nineteenth century and concluding with the ascendance of neuroscience in the late twentieth century. Rather than dwelling on psychoanalytic readings, this literary investigation combines with history of psychology to offer attentive textual readings that explore five key psychological schools: evolutionary psychology, psychoanalysis, behaviourism, existential-humanism, and cognitivism. The varied functions of psychological discourses in science fiction are explored, whether to popularise and prophesy, to imagine utopia or dystopia, to estrange our everyday reality, to comment on science fiction itself, or to abet (or resist) the spread of psychological wisdom. Science Fiction and Psychology also considers how psychology itself has made use of science fiction in order to teach, to secure legitimacy as a discipline, and to comment on the present.",2020-01-31,NA
8,The Principles of Psychology,['William James'],"The Principles of Psychology is a two-volume introduction to the study of the human mind. Based on his classroom lessons and first published in 1890, James has gathered together what he feels to be the most interesting and most accessible information for the beginning student. Psychology, according to James, deals with thoughts and feelings as its facts and does not attempt to determine where such things come from. This would be the realm of metaphysics, and he is careful to avoid crossing over from science into philosophy. This first volume contains discussions of the brain, methods for analyzing behavior, thought, consciousness, attention, association, time, and memory. Anyone wanting a thorough introduction to psychology will find this work useful and engaging. American psychologist and philosopher WILLIAM JAMES (1842-1910), brother of novelist Henry James, was a groundbreaking researcher at Harvard University and one of the most popular thinkers of the 19th century. Among his many works are Human Immortality (1898) and The Varieties of Religious Experience: A Study in Human Nature (1902).",2007-04,NA
9,The Book of Moods,['Lauren Martin'],"""Hilariously witty, unflinchingly honest, and brimming with hope."" Bobbi Brown ""A fascinating, thorough, and truly helpful book. I loved it!"" Sarah Knight, New York Times bestselling author of Calm the F*ck Down The Happiness Project meets So Sad Today in this ""hilariously witty, unflinchingly honest"" book from the beloved founder of Words of Women, contemplating the nature of negative emotions, and the insights that allowed her to take back control. Five years ago, Lauren Martin was sure something was wrong with her. She had a good job in New York, an apartment in Brooklyn, a boyfriend, yet every day she wrestled with feelings of inferiority, anxiety and irritability. It wasn't until a chance encounter with a (charming, successful) stranger who revealed that she also felt these things, that Lauren set out to better understand the hold that these moods had on her, how she could change them, and began to blog about the wisdom she uncovered. It quickly exploded into an international online community of women who felt like she did: lost, depressed, moody, and desirous of change. Inspired by her audience to press even deeper, The Book of Moods shares Lauren's journey to infuse her life with a sense of peace and stability. With observations that will resonate and inspire, she dives into the universal triggers every woman faces - whether it's a comment from your mother, the relentless grind at your job, days when you wish the mirror had a Valencia filter, or all of the above. Blending cutting-edge science, timeless philosophy, witty anecdotes and effective forms of self-care, Martin has written a powerful, intimate, and incredibly relatable chronicle of transformation, proving that you really can turn your worst moods into your best life.",2020-12-10,NA
